ItemID,Sentiment,SentimentText
20001,1,@ Osaka eatin sOMe yumnmy sushi with the fAm 
20002,1,@ outside in the sun 
20003,0,@ Paragon again  (via Facebook)
20004,1,"@ PaulMac9 Me too! If we can find an evening that you're not working, we should all meet up for an after-work drink like we used to do"
20005,1,@ pbarone some interesting people in your following list - as a result of reading it now I'm following too many people! 
20006,1,"@ perpetualspiral Hi, wishing you to be in the upward spiral today "
20007,0,@ peterfacinelli Stopping to say good morning!  I am sorry Twitter messed up your bet.  
20008,0,"@ Pezmeister1: do you have a list of the top 10-20 mom blogs to follow?  also, cant DM you bec you dont follow me, sad"
20009,1,"@ plisnoh i hope it's easy, this NEEEDS t bring my mark up, hey if we did well on the test, we have to celebrate. "
20010,1,@ Polo classic on Governor's Island 
20011,1,@ polo with daledoh. migHt be going out for some ice cream later 
20012,0,@ ponyp: hey! 
20013,0,@ Pretty_Mess you missed all the free shots 
20014,0,@_Gore_ that sucks 
20015,0,@_Green_Ranger aww damn you just made me realize my last update was my 100th  I was frustrated on my 100th. LAME.
20016,1,@_Gregatron Good looks! 
20017,1,@_handz_ Coolio. Sounds good 
20018,1,@_handz_ it was quiet.... unfortunatly but what the hell it's good the chill out too right? 
20019,1,@_happiness_ get them here http://bit.ly/sY2ly  &amp; remember to use the code CAROL for instant discount
20020,1,"@_happygolucky_  wasn't meant to be an argument    as one said just an opinion ,  but always like to clear and clarify  things up"
20021,0,@_happygolucky_ I'm finally up and about my fever is under 100 so I decided to work today  thanks for asking and thanks for the fb comment
20022,0,"@_happygolucky_ Pretty disgusted with that story. Seriously, wtf?  No child under three should be able to open their own seat harness"
20023,0,@_HarryKim OOC:  I know.  I'm sorry.  
20024,0,@_HarryKim OOC:  It's okay.  Is everything okay?  I can only be on for another minute or two.  
20025,1,@_HarryKim OOC:  We would need the extra room to make room for the pets.  
20026,0,"@_harrypotter_ ooc:  That stinks. Maybe I could attack you or something, a little change of pace, hm? *laugh*"
20027,0,@_harrypotter_ ooc: Your screwed.  Im sorry. (really I am)
20028,1,"@_hayles for sure! me too! day ok, work crap, but it's all behind me now. i looooove ebay "
20029,1,"@_hayles Hey babe, im very well  you?? xxxx"
20030,0,@_hayles hey chicken! im all good.. tryn to do my #ff to many favs tho.il forget sme1...   haha
20031,1,@_hayles hey huni.. oh oh oh 5days til your partyyyyyyy
20032,0,@_hayles hey lovely!! hows you?not on long just bout to head off.got stuff to do  .our suns away today   xxx
20033,0,"@_hayles hey sweetie.not bad.sore throat,so not speakn to any1 all day,dont wana lose my voice again  hows u? russ tweeted alot last night"
20034,1,@_hayles lets try russ and see if he can handle us all 
20035,1,"@_hayles New!  But wayyy behind, only on episode 9! lol."
20036,0,@_hayles so do i!! 5 small cheesy biscuits and an apple for lunch
20037,0,@_hayles thinking of a celeb/hollywood fancy dress theme. want a marquee but its so expensive 
